14:55:19.110936 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19094, length 64
14:55:19.137053 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19094, length 64
14:55:20.112447 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19095, length 64
14:55:20.140975 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19095, length 64
14:55:21.114174 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19096, length 64
14:55:21.142727 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19096, length 64
14:55:22.115704 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19097, length 64
14:55:22.142157 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19097, length 64
14:55:23.117315 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19098, length 64
14:55:23.142832 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19098, length 64
14:55:24.118808 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19099, length 64
14:55:24.143388 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19099, length 64
14:55:25.120590 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19100, length 64
14:55:25.144956 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19100, length 64
14:55:26.122022 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19101, length 64
14:55:26.145639 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19101, length 64
14:55:27.123729 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19102, length 64
14:55:27.148931 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19102, length 64
14:55:28.125092 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19103, length 64
14:55:28.151503 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19103, length 64
14:55:29.126777 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19104, length 64
14:55:29.154265 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19104, length 64
14:55:30.128615 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19105, length 64
14:55:30.154499 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19105, length 64
14:55:31.129761 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19106, length 64
14:55:31.154479 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19106, length 64
14:55:32.131396 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19107, length 64
14:55:32.159923 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19107, length 64
14:55:33.132076 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19108, length 64
14:55:33.157669 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19108, length 64
14:55:34.133859 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19109, length 64
14:55:34.158837 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19109, length 64
14:55:35.134925 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19110, length 64
14:55:35.160495 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19110, length 64
14:55:36.135450 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19111, length 64
14:55:36.159976 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19111, length 64
14:55:37.136130 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19112, length 64
14:55:37.160600 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19112, length 64
14:55:38.136597 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19113, length 64
14:55:38.162161 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19113, length 64
14:55:39.137215 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19114, length 64
14:55:39.163059 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19114, length 64
14:55:40.138061 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19115, length 64
14:55:40.161023 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19115, length 64
14:55:41.139124 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19116, length 64
14:55:41.162653 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19116, length 64
14:55:42.139891 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19117, length 64
14:55:42.163965 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19117, length 64
14:55:43.140056 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19118, length 64
14:55:43.164838 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19118, length 64
14:55:44.140916 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19119, length 64
14:55:44.165731 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19119, length 64
14:55:45.141865 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19120, length 64
14:55:45.166486 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19120, length 64
14:55:46.142408 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19121, length 64
14:55:46.164431 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19121, length 64
14:55:47.143396 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19122, length 64
14:55:47.164926 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19122, length 64
14:55:48.144020 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19123, length 64
14:55:48.167113 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19123, length 64
14:55:49.144276 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19124, length 64
14:55:49.165727 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19124, length 64
14:55:50.144764 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19125, length 64
14:55:50.165545 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19125, length 64
14:55:51.145702 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19126, length 64
14:55:51.168256 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19126, length 64
14:55:52.146323 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19127, length 64
14:55:52.168712 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19127, length 64
14:55:53.146813 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19128, length 64
14:55:53.172847 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19128, length 64
14:55:54.146981 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19129, length 64
14:55:54.174182 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19129, length 64
14:55:55.147280 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19130, length 64
14:55:55.174166 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19130, length 64
14:55:56.148333 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19131, length 64
14:55:56.175110 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19131, length 64
14:55:57.149463 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19132, length 64
14:55:57.175921 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19132, length 64
14:55:58.149906 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19133, length 64
14:55:58.177589 IP 115.239.210.26 > 192.168.100.71: ICMP echo reply, id 10251, seq 19133, length 64
14:55:59.150707 IP 192.168.100.71 > 115.239.210.26: ICMP echo request, id 10251, seq 19134, length 64
14:55:59.1
