Time	Total	Dispersed	Machine_Used
Descirption: First-fit,greedy-recon/600s,threshold = 0.99; recon_threshold = 0.95;600	0	0	0
1200	0	0	0
1800	0	0	0
2400	0	0	0
3000	0	0	0
3600	0	0	0
4200	2	0	6
4800	7	1	38
5400	99	17	193
6000	134	17	260
6600	120	16	267
7200	112	18	273
7800	120	22	312
8400	119	22	319
9000	120	25	310
9600	142	26	321
10200	142	26	322
10800	203	38	374
11400	272	47	427
12000	205	23	388
12600	260	42	418
13200	255	35	439
13800	234	32	450
14400	392	63	541
15000	403	48	585
15600	354	46	583
16200	490	75	661
16800	468	64	677
17400	477	67	688
18000	711	112	752
18600	543	48	790
19200	462	46	754
19800	415	49	734
20400	404	51	722
21000	414	60	746
21600	533	55	781
22200	433	53	764
22800	442	65	761
23400	594	80	823
24000	592	64	835
24600	638	73	842
25200	619	65	840
25800	583	72	848
26400	660	82	894
27000	623	67	895
27600	588	65	887
28200	653	78	899
28800	674	61	891
29400	639	59	878
30000	670	70	845
30600	589	47	823
31200	544	31	794
31800	514	22	768
32400	481	20	748
33000	450	17	732
33600	425	13	691
34200	403	8	657
34800	391	8	650
35400	392	10	626
36000	380	6	602
36600	450	9	587
37200	703	12	559
37800	667	11	552
38400	643	8	552
39000	639	9	545
39600	552	10	541
40200	675	30	613
40800	621	37	661
41400	753	140	1139
42000	840	160	1244
42600	970	131	1272
43200	1374	118	1392
43800	1422	111	1482
44400	1390	104	1505
45000	1271	62	1348
45600	1104	97	1312
46200	915	61	1234
46800	763	59	1008
47400	820	102	1104
48000	704	48	1020
48600	635	31	943
49200	628	41	901
49800	629	42	876
50400	524	11	826
51000	497	8	798
51600	477	8	781
52200	468	7	769
52800	455	6	757
53400	438	6	746
54000	422	5	733
54600	405	3	689
55200	420	8	659
55800	440	13	636
56400	461	18	630
57000	470	20	675
57600	499	35	807
58200	479	25	711
58800	463	16	674
59400	522	13	655
60000	565	62	840
60600	535	45	785
61200	604	55	854
61800	599	73	913
62400	565	56	864
63000	538	44	778
63600	544	41	740
64200	545	54	788
64800	607	51	790
65400	522	36	768
66000	504	36	732
66600	558	85	898
67200	641	73	890
67800	533	40	840
68400	514	37	816
69000	491	42	803
69600	488	46	784
70200	494	50	788
70800	491	48	820
71400	550	71	892
72000	561	84	935
72600	558	81	926
73200	574	72	933
73800	588	78	954
74400	575	69	921
75000	666	108	946
75600	649	86	951
76200	709	106	991
76800	731	130	1017
77400	738	118	1026
78000	762	150	1055
78600	791	152	1108
79200	849	174	1174
79800	802	156	1174
80400	844	186	1271
81000	867	213	1296
81600	873	151	1255
82200	844	142	1212
82800	804	150	1136
83400	835	137	1161
84000	748	94	1102
84600	838	117	1075
85200	771	89	1066
85800	878	139	1110
86400	988	206	1287
87000	975	129	1203
87600	951	166	1201
88200	919	166	1251
88800	821	103	1189
89400	762	86	1158
90000	747	100	1140
90600	753	93	1136
91200	792	92	1133
91800	763	93	1126
92400	725	86	1121
93000	730	89	1112
93600	744	86	1108
94200	762	89	1104
94800	768	106	1102
95400	811	122	1129
96000	911	168	1182
96600	830	112	1187
97200	858	113	1169
97800	845	105	1154
98400	761	101	1160
99000	760	110	1156
99600	803	105	1168
100200	823	112	1158
100800	803	111	1159
101400	746	99	1147
102000	718	97	1139
102600	755	103	1126
103200	780	119	1119
103800	741	111	1116
104400	720	113	1107
105000	743	124	1102
105600	713	78	1086
106200	672	65	1079
106800	624	50	1072
107400	693	92	1062
108000	672	98	1057
108600	719	106	1055
109200	729	109	1050
109800	640	60	1034
110400	630	61	1022
111000	689	67	1011
111600	721	77	1006
112200	683	69	1002
112800	674	64	993
113400	784	103	1040
114000	815	67	1092
114600	974	137	1115
115200	1011	144	1148
115800	1088	194	1282
116400	1041	134	1249
117000	1014	126	1228
117600	997	123	1222
118200	996	132	1221
118800	991	133	1217
119400	998	136	1213
120000	953	115	1206
120600	941	99	1202
121200	983	102	1192
121800	1005	100	1186
122400	1147	137	1233
123000	1322	165	1245
123600	1380	155	1237
