Time	Total	Dispersed	Machine_Used
Descirption: First-fit,greedy-recon/600s,threshold = 0.99; recon_threshold = 0.95;600	0	0	0
1200	0	0	0
1800	0	0	0
2400	0	0	0
3000	0	0	0
3600	0	0	0
4200	2	0	6
4800	7	1	38
5400	99	20	193
6000	134	30	260
6600	120	23	265
7200	112	23	272
7800	120	29	313
8400	119	28	319
9000	120	26	307
9600	142	29	322
10200	142	31	324
10800	203	46	374
11400	272	70	428
12000	205	34	383
12600	260	53	422
13200	255	39	435
13800	234	35	443
14400	392	69	542
15000	403	69	584
15600	354	66	578
16200	490	98	661
16800	468	101	674
17400	477	103	687
18000	711	178	752
18600	543	58	784
19200	462	56	740
19800	415	61	725
20400	404	64	716
21000	414	76	745
21600	533	83	777
22200	433	74	763
22800	442	80	758
23400	594	110	823
24000	592	97	832
24600	638	112	842
25200	619	89	843
25800	583	104	850
26400	660	123	895
27000	623	113	897
27600	588	97	887
28200	653	117	903
28800	674	89	895
29400	639	64	874
30000	670	84	841
30600	589	43	811
31200	544	29	782
31800	514	20	746
32400	481	13	709
33000	450	5	678
33600	425	6	655
34200	403	5	629
34800	391	5	621
35400	392	10	609
36000	380	5	584
36600	450	7	569
37200	703	10	542
37800	667	7	536
38400	643	6	530
39000	639	7	526
39600	552	10	526
40200	675	34	609
40800	621	49	655
41400	753	169	1139
42000	840	210	1245
42600	970	212	1273
43200	1374	225	1392
43800	1422	251	1482
44400	1390	221	1500
45000	1271	87	1327
45600	1104	123	1307
46200	915	79	1215
46800	763	64	999
47400	820	113	1096
48000	704	49	996
48600	635	36	918
49200	628	43	871
49800	629	55	929
50400	524	16	833
51000	497	11	800
51600	477	9	777
52200	468	9	767
52800	455	8	757
53400	438	7	747
54000	422	7	730
54600	405	6	707
55200	420	6	664
55800	440	8	641
56400	461	14	654
57000	470	19	688
57600	499	44	805
58200	479	32	733
58800	463	19	693
59400	522	21	680
60000	565	72	839
60600	535	67	808
61200	604	87	862
61800	599	110	905
62400	565	91	859
63000	538	72	801
63600	544	81	763
64200	545	85	789
64800	607	83	801
65400	522	51	792
66000	504	60	765
66600	558	117	888
67200	641	134	900
67800	533	57	847
68400	514	57	827
69000	491	55	817
69600	488	63	808
70200	494	68	801
70800	491	75	824
71400	550	119	892
72000	561	125	935
72600	558	127	925
73200	574	107	929
73800	588	116	948
74400	575	106	914
75000	666	166	949
75600	649	162	956
76200	709	190	995
76800	731	193	1018
77400	738	195	1033
78000	762	227	1055
78600	791	231	1104
79200	849	270	1171
79800	802	232	1164
80400	844	254	1267
81000	867	272	1298
81600	873	238	1244
82200	844	176	1200
82800	804	191	1123
83400	835	187	1164
84000	748	120	1120
84600	838	164	1091
85200	771	136	1079
85800	878	229	1119
86400	988	283	1283
87000	975	193	1199
87600	951	277	1199
88200	919	280	1253
88800	821	176	1195
89400	762	165	1167
90000	747	167	1147
90600	753	166	1143
91200	792	175	1140
91800	763	170	1138
92400	725	162	1129
93000	730	167	1119
93600	744	162	1115
94200	762	153	1114
94800	768	173	1109
95400	811	187	1134
96000	911	259	1188
96600	830	199	1192
97200	858	202	1172
97800	845	178	1159
98400	761	173	1164
99000	760	190	1165
99600	803	202	1165
100200	823	222	1164
100800	803	210	1167
101400	746	178	1149
102000	718	161	1145
102600	755	184	1137
103200	780	197	1131
103800	741	185	1128
104400	720	198	1123
105000	743	218	1116
105600	713	133	1103
106200	672	82	1089
106800	624	58	1074
107400	693	108	1067
108000	672	108	1053
108600	719	146	1050
109200	729	157	1046
109800	640	77	1030
110400	630	75	1025
111000	689	105	1022
111600	721	141	1014
112200	683	105	1009
112800	674	116	1002
113400	784	139	1050
114000	815	106	1090
114600	974	224	1122
115200	1011	268	1155
115800	1088	323	1282
116400	1041	278	1248
117000	1014	213	1232
117600	997	194	1222
118200	996	220	1217
118800	991	218	1215
119400	998	215	1212
120000	953	189	1212
120600	941	161	1209
121200	983	186	1191
121800	1005	195	1182
122400	1147	275	1222
123000	1322	307	1241
123600	1380	330	1223
