Time	Current
Descirption: First-fit,greedy-recon/600s,threshold = 0.99; recon_threshold = 0.95;600	0	0.0
1200	0	0.0
1800	0	0.0
2400	0	0.0
3000	0	0.0
3600	0	0.0
4200	2	2.0
4800	7	6.698818232976928
5400	99	90.06355378897804
6000	134	119.46297929246546
6600	120	107.26539545407091
7200	112	98.96862504560325
7800	120	104.82389874248922
8400	119	103.21677303783162
9000	120	104.92605854912064
9600	142	125.06009975445124
10200	142	124.10352280599949
10800	203	178.04380154011923
11400	272	232.20061523809167
12000	205	185.08649937389168
12600	260	229.50752087239965
13200	255	230.72064548374144
13800	234	212.72000243983126
14400	392	349.34103646842624
15000	403	362.3675661583118
15600	354	315.29631503531846
16200	490	431.8461569036795
16800	468	409.25691762881786
17400	477	417.07624185749944
18000	711	600.3275550817567
18600	543	509.4106696861258
19200	462	430.91438969088136
19800	415	379.712745614019
20400	404	364.9275300634776
21000	414	367.64404377416486
21600	533	485.36778441547403
22200	433	387.5105449582382
22800	442	391.82658678805967
23400	594	524.9556714500964
24000	592	528.9471345436612
24600	638	569.007403506989
25200	619	559.7281085585786
25800	583	514.8761177200051
26400	660	580.9814923230568
27000	623	550.47778385967
27600	588	524.9683946643459
28200	653	577.5753711040818
28800	674	610.7224760596649
29400	639	591.8322418984834
30000	670	615.0556501205269
30600	589	555.9400820746351
31200	544	527.5570976660472
31800	514	499.84954567688885
32400	481	469.6669708657089
33000	450	445.42966033363075
33600	425	422.6372907833827
34200	403	401.516490831284
34800	391	388.94136306297054
35400	392	387.70809264015105
36000	380	379.23165362198165
36600	450	448.47077558280455
37200	703	699.8518065536833
37800	667	663.9302832096157
38400	643	640.7019386906001
39000	639	636.7019386906001
39600	552	547.257072859967
40200	675	655.0303178352495
40800	621	588.9521158278915
41400	753	684.0541996662531
42000	840	755.1913508316557
42600	970	867.9280262068081
43200	1374	1257.2444150633914
43800	1422	1298.3591034370666
44400	1390	1283.8182819867793
45000	1271	1223.419254797029
45600	1104	1042.9618905469752
46200	915	861.3127091724955
46800	763	717.8617785785473
47400	820	739.9734492330531
48000	704	662.7709417430389
48600	635	602.148920650045
49200	628	592.5912543567166
49800	629	595.1229389447745
50400	524	511.6866144340489
51000	497	487.2942821600995
51600	477	467.2942821600995
52200	468	458.2942821600995
52800	455	446.5156892530442
53400	438	431.8449840930823
54000	422	415.8449840930823
54600	405	402.4916957663852
55200	420	417.6661171034178
55800	440	434.3466140949901
56400	461	452.41569725023516
57000	470	458.0818462712662
57600	499	471.9440716845322
58200	479	460.1400570288164
58800	463	448.6059272633826
59400	522	509.65892286759754
60000	565	519.2227607526862
60600	535	488.0991106500372
61200	604	545.3781811137355
61800	599	525.493096694433
62400	565	506.1513289113925
63000	538	496.5907497671355
63600	544	499.0517849861881
64200	545	492.3485993962551
64800	607	546.0766653441466
65400	522	480.16934498134674
66000	504	457.1837621440549
66600	558	476.7251240275243
67200	641	554.3052628686938
67800	533	490.61163651645364
68400	514	480.00489470225125
69000	491	454.4136077878224
69600	488	446.6944470367629
70200	494	448.2984381460664
70800	491	443.2154187293937
71400	550	480.10994820140473
72000	561	486.3301491410977
72600	558	481.6777247544472
73200	574	502.5223592722064
73800	588	512.5510125353862
74400	575	507.2140379458485
75000	666	555.6770569632558
75600	649	552.0437940866661
76200	709	593.417886387561
76800	731	612.0754427523531
77400	738	624.0224039229387
78000	762	625.9144683819493
78600	791	648.5227313973999
79200	849	688.7360432030767
79800	802	659.9516048999428
80400	844	687.0071100023894
81000	867	691.5496196664255
81600	873	719.6022650887691
82200	844	716.8958708390345
82800	804	674.2013786904656
83400	835	710.9010101622401
84000	748	663.1810689049565
84600	838	729.1982929747501
85200	771	678.9546403708098
85800	878	732.9811894454425
86400	988	823.1234581454926
87000	975	846.4691899191384
87600	951	772.9003712152107
88200	919	746.3142811164207
88800	821	708.2490261039203
89400	762	665.3200234549182
90000	747	638.2211133704694
90600	753	646.7981982628489
91200	792	677.8319635815101
91800	763	652.2269444006934
